# Grounded questions for fixtures/sample-commerce.
# id <TAB> repository <TAB> question <TAB> kind <TAB> subject <TAB> expected names (|) <TAB> expected locations (|) <TAB> min confidence
# Expectations are source names and file:line locations, never graph ids: ids change when symbol
# identity improves, source locations do not.
#
# The confidence floor is the weakest tier an answer to this question may rest on:
#   1.00 compiler binding   0.98 in-repository symbol   0.95 single-candidate dispatch or bean
#   0.90 framework model and workflow traversal         0.85 capability grouping
#   0.60 multi-candidate dispatch                       0.55 explicitly unresolved
# A packet that summarizes an entry point legitimately contains capability claims, so a question
# about one cannot demand 0.90.
#
# The ninth field marks a question whose expected list is the COMPLETE answer. Only those measure
# precision. Without any, a tool returning every symbol in the repository would score 1.000 on
# every question here, because recall cannot tell a precise answer from a dump.
# The exhaustive answers below were derived by reading the source and confirming each element is
# genuinely reachable, then checked against grep for anything the graph might have missed.
sc-001	sample-commerce	What breaks if PaymentService is removed?	IMPACT	PaymentService	PaymentController.authorize|PaymentController	PaymentController.java:12	0.85
sc-002	sample-commerce	Which HTTP endpoint does PaymentService ultimately serve?	ENDPOINT	PaymentService	endpoint:POST:/payments/authorize	PaymentController.java:11	0.85
sc-003	sample-commerce	Who calls CheckoutService?	IMPACT	CheckoutService	CheckoutController.checkout|CheckoutController	CheckoutController.java:9	0.85
sc-004	sample-commerce	What depends on OrderRepository, directly or transitively?	IMPACT	OrderRepository	CheckoutService.execute|CheckoutController.checkout	CheckoutService.java:11|CheckoutController.java:9	0.85
sc-005	sample-commerce	Which controller exposes the payment authorization route?	ENDPOINT	endpoint:POST:/payments/authorize	PaymentController.authorize		0.85
sc-006	sample-commerce	What does PaymentController depend on?	LOOKUP	PaymentController	PaymentService		0.85
sc-007	sample-commerce	Which type consumes the payment event topic?	STRUCTURE	PaymentEventConsumer	PaymentEventConsumer.consume		0.85
sc-008	sample-commerce	Does removing PaymentGateway affect the checkout flow?	IMPACT	PaymentGateway	CheckoutService		0.85
sc-009	sample-commerce	Everything affected if PaymentGateway changes	IMPACT	PaymentGateway	CheckoutService|CheckoutService.execute|CheckoutController|BillingLedger|BillingAdminController|checkout		0.85	true
sc-010	sample-commerce	Everything affected if OrderRepository changes	IMPACT	OrderRepository	CheckoutService|CheckoutService.execute|CheckoutController|checkout		0.85	true
#
# sc-011 onwards are written subject-free: the question says what the code does, never what it is
# called. Ground truth read from the fixture source, not from tool output.
#
sc-011	sample-commerce	Which route is protected by a role check?	ENDPOINT	BillingAdminController	endpoint:GET:/billing/ledger	com/acme/billing/BillingAdminController.java:24	0.55
sc-012	sample-commerce	Which method runs inside a transaction?	LOOKUP	PaymentService	PaymentService.authorize	com/acme/checkout/PaymentService.java:9	0.55
sc-013	sample-commerce	What reads an address out of configuration?	LOOKUP	BillingAdminController	property:billing.endpoint		0.55
sc-014	sample-commerce	Which type writes down what happened for later review?	LOOKUP	AuditTrail	AuditTrail	com/acme/audit/AuditTrail.java:6	0.55
sc-015	sample-commerce	Which service reaches into two other packages?	IMPACT	BillingLedger	AuditTrail|PaymentGateway	com/acme/billing/BillingLedger.java:12	0.55
sc-016	sample-commerce	What stores the order once payment goes through?	LOOKUP	OrderRepository	OrderRepository	com/acme/checkout/OrderRepository.java:5	0.55
sc-017	sample-commerce	What talks to the outside payment provider?	LOOKUP	PaymentGateway	PaymentGateway	com/acme/checkout/PaymentGateway.java:5	0.55
sc-018	sample-commerce	What puts authorizing and saving in order?	LOOKUP	CheckoutService	PaymentGateway|OrderRepository	com/acme/checkout/CheckoutService.java:5	0.55
sc-019	sample-commerce	Which package holds the buying flow?	STRUCTURE	CheckoutService	module:com.acme.checkout		0.55
sc-020	sample-commerce	Which package holds the money record-keeping?	STRUCTURE	BillingLedger	module:com.acme.billing		0.55
sc-021	sample-commerce	Which package exists only to record events?	STRUCTURE	AuditTrail	module:com.acme.audit		0.55
sc-022	sample-commerce	What is affected by a change to the event recorder?	IMPACT	AuditTrail	BillingLedger		0.55
sc-023	sample-commerce	Which guard stands in front of the ledger?	ENDPOINT	BillingAdminController	guard:PreAuthorize:hasRole('BILLING_ADMIN')		0.55
sc-024	sample-commerce	Which routes does the administrative side expose?	ENDPOINT	BillingAdminController	endpoint:GET:/billing/ledger		0.55
sc-025	sample-commerce	What listens for a message rather than serving a request?	LOOKUP	PaymentEventConsumer	PaymentEventConsumer	com/acme/checkout/PaymentEventConsumer.java:5	0.55
