# Grounded questions for spring-projects/spring-petclinic at commit 88e37c1.
# Run with the repository's Maven classpath; answers were verified against that commit.
#   mvn dependency:build-classpath -Dmdep.outputFile=target/repo-intel.classpath -Dmdep.includeScope=test
#   repo-intel evaluate <petclinic> evaluation/spring-petclinic.questions.tsv --classpath "$(cat target/repo-intel.classpath)"
# id <TAB> repository <TAB> question <TAB> kind <TAB> subject <TAB> expected names (|) <TAB> expected locations (|) <TAB> min confidence
#
# Confidence floors: 1.00 compiler binding, 0.98 in-repository symbol, 0.95 single-candidate
# dispatch or bean, 0.90 framework model and workflow traversal, 0.85 capability grouping,
# 0.60 multi-candidate dispatch, 0.55 explicitly unresolved. A packet that reaches an entry point
# carries its capability claim, so those questions floor at 0.85.
pc-001	spring-petclinic	What breaks if VetRepository changes?	IMPACT	VetRepository	VetController.findPaginated|VetController.showResourcesVetList	vet/VetController.java:62|vet/VetController.java:70	0.85
pc-002	spring-petclinic	Which endpoints does VetRepository ultimately serve?	ENDPOINT	VetRepository	endpoint:GET:/vets|endpoint:GET:/vets.html	vet/VetController.java:45|vet/VetController.java:66	0.85
pc-003	spring-petclinic	Which routes does VetController expose?	ENDPOINT	VetController	endpoint:GET:/vets|endpoint:GET:/vets.html	vet/VetController.java:45|vet/VetController.java:66	0.85
pc-004	spring-petclinic	Who depends on OwnerRepository?	IMPACT	OwnerRepository	OwnerController.findPaginatedForOwnersLastName	owner/OwnerController.java:136	0.85
pc-005	spring-petclinic	Which table does the Owner entity persist to?	PERSISTENCE	org.springframework.samples.petclinic.owner.Owner	table:owners	owner/Owner.java:37	0.5
pc-006	spring-petclinic	Which routes does PetController expose?	ENDPOINT	PetController	endpoint:GET:/owners/{ownerId}/pets/new|endpoint:POST:/owners/{ownerId}/pets/{petId}/edit	owner/PetController.java:101|owner/PetController.java:145	0.85
pc-007	spring-petclinic	What does the Vet entity map to?	PERSISTENCE	org.springframework.samples.petclinic.vet.Vet	table:vets		0.5
pc-008	spring-petclinic	Which controller serves the owner search page?	ENDPOINT	OwnerController	endpoint:GET:/owners/find		0.85
pc-009	spring-petclinic	What is affected by a change to the Vet entity?	IMPACT	org.springframework.samples.petclinic.vet.Vet	VetControllerTests.james|ClinicServiceTests.shouldFindVets	vet/VetControllerTests.java:55	0.5
pc-010	spring-petclinic	Which repository does VetController depend on?	LOOKUP	VetController	VetRepository	vet/VetController.java:38	0.85
#
# pc-011 and pc-012 declare answers of more than one symbol, which is what `--retrieval-only`
# scores anchor coverage over. OwnerController's seven mappings are the whole of its HTTP
# surface at this commit, so pc-011 is exhaustive; pc-012 lists the three classes that declare
# an OwnerRepository field and is not, because the impact of a repository reaches further.
pc-011	spring-petclinic	Which routes does OwnerController expose?	ENDPOINT	OwnerController	endpoint:GET:/owners/new|endpoint:POST:/owners/new|endpoint:GET:/owners/find|endpoint:GET:/owners|endpoint:GET:/owners/{ownerId}/edit|endpoint:POST:/owners/{ownerId}/edit|endpoint:GET:/owners/{ownerId}	owner/OwnerController.java:73|owner/OwnerController.java:78|owner/OwnerController.java:90|owner/OwnerController.java:95|owner/OwnerController.java:140|owner/OwnerController.java:145|owner/OwnerController.java:170	0.85	true
pc-012	spring-petclinic	Which controllers hold an OwnerRepository?	IMPACT	OwnerRepository	OwnerController|PetController|VisitController		0.55	
#
# pc-013 onwards deliberately do NOT name their subject. Every earlier question says "what breaks
# if VetRepository changes", which the exact-name signal settles before any card text is read -
# which is why retrieval saturates at 1.000 here and why branch summaries could not be shown to
# help. These ask the way someone who does not yet know the symbol's name would ask.
pc-013	spring-petclinic	Which page does the application serve at its root?	ENDPOINT	org.springframework.samples.petclinic.system.WelcomeController	endpoint:GET:/	system/WelcomeController.java:26	0.85	
pc-014	spring-petclinic	Where does the application deliberately throw an exception?	LOOKUP	org.springframework.samples.petclinic.system.CrashController	endpoint:GET:/oups	system/CrashController.java:32	0.85	
pc-015	spring-petclinic	Which table stores the clinic's clients?	PERSISTENCE	org.springframework.samples.petclinic.owner.Owner	table:owners		0.55	
pc-016	spring-petclinic	Where are the specialties a veterinarian holds stored?	PERSISTENCE	org.springframework.samples.petclinic.vet.Specialty	table:specialties		0.55	
pc-017	spring-petclinic	What checks a pet is valid before the form is accepted?	LOOKUP	org.springframework.samples.petclinic.owner.PetValidator	PetValidator.validate	owner/PetValidator.java:37	0.55	
pc-018	spring-petclinic	What turns the pet type typed into a form into an entity?	LOOKUP	org.springframework.samples.petclinic.owner.PetTypeFormatter	PetTypeRepository	owner/PetTypeFormatter.java:41	0.55	
pc-019	spring-petclinic	Which routes list the clinic staff?	ENDPOINT	org.springframework.samples.petclinic.vet.VetController	endpoint:GET:/vets|endpoint:GET:/vets.html	vet/VetController.java:45|vet/VetController.java:66	0.85	true
#
# pc-020 onwards continue the subject-free style: almost none name the symbol they are about, so
# they measure retrieval rather than the exact-name signal. Ground truth read from the source at
# commit 88e37c1, not from tool output.
#
pc-020	spring-petclinic	Which class do all stored objects inherit their identifier from?	LOOKUP	org.springframework.samples.petclinic.model.BaseEntity	Owner|Vet	model/BaseEntity.java:33	0.55
pc-021	spring-petclinic	Where do a first and last name live for both the clients and the staff?	STRUCTURE	org.springframework.samples.petclinic.model.Person	Owner|Vet	model/Person.java:29	0.55
pc-022	spring-petclinic	Which table holds the kinds of animal the clinic treats?	PERSISTENCE	org.springframework.samples.petclinic.owner.PetType	table:types	owner/PetType.java:28	0.55
pc-023	spring-petclinic	Which table records the appointments?	PERSISTENCE	org.springframework.samples.petclinic.owner.Visit	table:visits	owner/Visit.java:36	0.55
pc-024	spring-petclinic	Which table stores the animals themselves?	PERSISTENCE	org.springframework.samples.petclinic.owner.Pet	table:pets	owner/Pet.java:46	0.55
